Trend.raw,Trend.new
Type,Type
Subpopulation,Subpopulation
Indicator,Indicator
Category,Condition
nRESP1999.2001,NResp_91
X1999.2001.Estimate,Estimate.P_91
LCB95Pct.P_1,LCB95Pct.P_91
UCB95Pct.P_1,UCB95Pct.P_91
Est.U.1999.2001,Estimate.U_91
LCB95Pct.U_1999.2001,LCB95Pct.U_91
UCB95Pct.U_1999.2001,UCB95Pct.U_91
nRESP2005.2006,NResp_56
X2005.2006Estimate,Estimate_56
LCB95Pct.P_1.1,LCB95Pct.P_56
UCB95Pct.P_1.1,UCB95Pct.P_56
Est.U.2005.2006,Estimate.U_56
LCB95Pct.U_2005.2006,LCB95Pct.U_56
UCB95Pct.U_2005.2006,UCB95Pct.U_56
nRESP2010,NResp_10
X2010Estimate,Estimate_10
LCB95Pct.P_2,LCB95Pct.P_10
UCB95Pct.P_2,UCB_95Pct.P_10
Est.U.2010,Estimate.U_10
LCB95Pct.U_2010,LCB95Pct.U_10
UCB95Pct.U_2010,UCB95Pct.U_10
